GEO_FIPS,Geo_QName,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A10062B_001
39061020901,Census Tract 209.01,3292,3292,5321.102,0.6186688896,1466,765,497,268,60,208,701,395,306,1466,570,496,143,187,42,21,7,50851,50851,51250,45774,,,,,,,50984,1615,1466,149,584,25,288,162,96,13,584,162,96,3178,198,85,137,348,276,2134,2721,311,2410,318,96,222,8,0,8,9,0,9,14,0,14,31,0,31,77,13,64,159,23,136,2562,288,2274,1390
39061020902,Census Tract 209.02,5291,5291,7093.746,0.7458683206,2371,1132,747,385,95,290,1239,652,587,2371,865,858,278,205,131,0,34,50353,50353,52446,41472,,,,,,,51603,2706,2371,335,1313,109,575,199,382,48,1313,199,382,5205,305,248,338,244,621,3449,4336,680,3656,506,91,415,0,0,0,32,0,32,0,0,0,0,0,0,331,120,211,110,0,110,4226,680,3546,2568
39061021001,Census Tract 210.01,3265,3265,3123.81,1.0451978928,1372,748,446,302,131,171,624,277,347,1372,470,409,225,182,86,0,0,62596,62596,61786,,,,,,,,62321,1436,1372,64,477,27,206,108,107,29,477,108,107,3138,177,44,79,287,203,2348,2875,244,2631,88,51,37,0,0,0,33,5,28,0,0,0,9,0,9,133,0,133,14,0,14,2861,244,2617,983
39061021002,Census Tract 210.02,3676,3676,4840.728,0.7593900049,1408,990,745,245,91,154,418,147,271,1408,359,464,246,166,92,68,13,78045,78045,78295,,,,,,,,78500,1462,1408,54,162,0,94,42,17,9,162,42,17,3667,135,142,34,113,142,3101,3571,287,3284,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,65,24,41,46,0,46,3525,287,3238,609
39061021003,Census Tract 210.03,2912,2912,5581.941,0.5216823398,1149,712,449,263,64,199,437,156,281,1149,383,270,161,235,84,16,0,60579,60579,60417,,,,,,,,60417,1155,1149,6,284,0,176,19,67,22,284,19,67,2906,18,151,57,188,461,2031,2764,122,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,104,38,0,0,0,2764,122,2642,734
39061021101,Census Tract 211.01,4994,4994,1307.408,3.8197705935,1776,1381,1204,177,86,91,395,229,166,1776,289,638,325,291,137,85,11,98465,98465,98377,,,,,,,,97544,1847,1776,71,145,9,72,10,54,0,145,10,54,4917,100,53,91,82,286,4305,4800,239,4561,27,1,26,4,4,0,12,0,12,0,0,0,39,0,39,35,0,35,223,0,223,4638,239,4399,439
39061021102,Census Tract 211.02,6336,6336,1378.455,4.5964514121,2312,1833,1585,248,65,183,479,221,258,2312,461,858,294,380,204,104,11,93906,93906,93242,,,,,,,,93594,2329,2312,17,95,0,65,0,19,11,95,0,19,6336,68,0,0,231,347,5690,6080,19,6061,12,0,12,0,0,0,60,0,60,0,0,0,170,49,121,14,0,14,178,49,129,6060,19,6041,291
39061021201,Census Tract 212.01,2052,2052,1380.057,1.4868945339,796,621,555,66,5,61,175,65,110,796,150,373,126,59,37,32,19,110200,110200,109500,,,,,,,,107500,811,796,15,27,0,4,11,0,12,27,11,0,2038,21,0,3,102,39,1873,2018,21,1997,0,0,0,0,0,0,12,0,12,0,0,0,8,3,5,0,0,0,36,3,33,1990,21,1969,74
39061021202,Census Tract 212.02,5210,5210,3474.088,1.4996741298,2034,1444,1104,340,65,275,590,150,440,2034,554,674,361,224,120,82,19,69063,69063,72513,,,,,,,,71417,2198,2034,164,288,0,144,56,38,50,288,56,38,5210,170,124,70,285,526,4035,4697,240,4457,247,74,173,0,0,0,65,0,65,0,0,0,49,0,49,152,50,102,99,0,99,4647,240,4407,641
39061021302,Census Tract 213.02,6087,6087,1742.024,3.4942123284,2136,1701,1511,190,47,143,435,112,323,2136,405,654,439,466,122,50,0,100227,100227,105375,,,,,,,,106208,2229,2136,93,443,28,333,14,54,14,443,14,54,5852,56,74,0,94,242,5386,5452,130,5322,111,0,111,0,0,0,141,0,141,0,0,0,48,0,48,100,0,100,47,0,47,5405,130,5275,832
39061021303,Census Tract 213.03,4842,4842,4310.464,1.1233129265,1730,1411,1084,327,99,228,319,101,218,1730,265,687,294,272,122,73,17,87422,87422,87188,,,,,,,,87135,1784,1730,54,113,0,85,7,14,7,113,7,14,4821,12,0,106,156,230,4317,4633,118,4515,71,0,71,0,0,0,6,0,6,0,0,0,37,0,37,74,0,74,28,0,28,4605,118,4487,322
39061021304,Census Tract 213.04,5032,5032,2388.827,2.1064730802,1718,1244,998,246,90,156,474,233,241,1718,387,627,263,278,127,12,24,81000,81000,79805,,,,,,,,80071,1773,1718,55,249,8,177,42,13,9,249,42,13,4517,75,76,239,76,345,3706,4374,350,4024,45,0,45,5,5,0,18,18,0,17,17,0,8,0,8,50,0,50,18,0,18,4356,350,4006,636
39061021401,Census Tract 214.01,4859,4859,3847.056,1.2630436898,2100,1076,761,315,81,234,1024,410,614,2100,889,551,193,273,163,31,0,49219,49219,48021,,,,,,,,44478,2311,2100,211,556,0,256,165,69,66,556,165,69,4859,276,58,206,477,921,2921,4788,540,4248,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0,22,0,22,377,0,377,4411,540,3871,1009
39061021421,Census Tract 214.21,4474,4474,5091.289,0.8787558089,1530,1311,954,357,115,242,219,112,107,1530,169,574,359,206,182,40,0,88143,88143,88643,,,,,,,,88643,1530,1530,0,148,13,63,39,33,0,148,39,33,4474,77,19,26,514,124,3714,4350,106,4244,36,16,20,6,0,6,0,0,0,0,0,0,0,0,0,82,0,82,0,0,0,4350,106,4244,491
39061021422,Census Tract 214.22,3003,3003,3425.124,0.8767565718,1033,756,662,94,24,70,277,154,123,1033,234,334,163,123,114,26,39,73164,73164,73832,73214,,,,,,,73832,1110,1033,77,313,8,197,55,53,0,313,55,53,2986,307,45,7,213,134,2280,2614,203,2411,172,0,172,0,0,0,148,148,0,0,0,0,0,0,0,52,8,44,119,0,119,2495,203,2292,748
